treatcode	obsdate	swc1	swc2	swc3	swc4	swc5	swc6
TIR1-3-0-SEV-R570	0013-05-19	0.419	0.419	0.46	0.494	0.53	0.542
TIR1-3-0-SEV-R570	0013-08-19	0.402	0.402	0.46	0.491	0.529	0.544
TIR1-3-0-SEV-R570	0013-10-19	0.423	0.423	0.469	0.492	0.526	0.536
TIR1-3-0-SEV-R570	0014-01-19	0.436	0.436	0.485	0.511	0.554	0.566
TIR1-3-0-SEV-R570	0014-05-19	0.417	0.417	0.459	0.493	0.529	0.541
TIR1-3-0-SEV-R570	0014-09-19	0.391	0.391	0.463	0.5	0.536	0.546
TIR1-3-0-SEV-R570	0014-10-19	0.437	0.437	0.484	0.509	0.536	0.54
TIR1-3-0-SEV-R570	0014-12-19	0.4	0.4	0.448	0.463	0.484	0.491
TIR1-3-0-SEV-R570	0015-01-19	0.431	0.431	0.481	0.51	0.556	0.567
TIR1-3-0-SEV-R570	0015-02-19	0.438	0.438	0.479	0.507	0.553	0.565
TIR1-3-0-SEV-R570	0015-05-19	0.436	0.436	0.474	0.501	0.531	0.542
TIR1-3-0-SEV-R570	0015-06-19	0.425	0.425	0.469	0.497	0.53	0.541
TIR1-3-0-SEV-R570	0015-07-19	0.408	0.408	0.459	0.489	0.527	0.54
TIR1-3-0-SEV-R570	0015-09-19	0.417	0.417	0.466	0.495	0.532	0.539
TIR1-3-0-SEV-R570	0015-10-19	0.439	0.439	0.485	0.512	0.542	0.547
TIR1-3-0-SEV-R570	0015-12-19	0.39	0.39	0.44	0.461	0.484	0.491
TIR1-3-0-SEV-R570	0016-02-19	0.43	0.43	0.472	0.503	0.546	0.562
TIR1-3-0-SEV-R570	0016-04-19	0.421	0.421	0.466	0.491	0.531	0.537
TIR1-3-0-SEV-R570	0016-06-19	0.422	0.422	0.468	0.495	0.53	0.542
TIR1-3-0-SEV-R570	0016-07-19	0.404	0.404	0.457	0.489	0.528	0.54
TIR1-3-0-SEV-R570	0016-09-19	0.434	0.434	0.479	0.503	0.533	0.541
TIR1-3-0-SEV-R570	0016-12-19	0.376	0.376	0.429	0.456	0.484	0.492
TIR1-3-0-SEV-R570	0017-04-19	0.414	0.414	0.462	0.489	0.528	0.536
TIR1-3-0-SEV-R570	0017-06-19	0.421	0.421	0.465	0.494	0.529	0.541
TIR1-3-0-SEV-R570	0017-08-19	0.367	0.367	0.437	0.486	0.525	0.538
TIR1-3-0-SEV-R570	0017-11-19	0.317	0.317	0.39	0.44	0.49	0.505
TIR1-3-0-SEV-R570	0018-01-19	0.405	0.405	0.461	0.494	0.54	0.554
TIR1-3-0-SEV-R570	0018-06-19	0.418	0.418	0.463	0.492	0.528	0.539
TIR1-3-0-SEV-R570	0018-08-19	0.414	0.414	0.47	0.492	0.525	0.535
TIR1-3-0-SEV-R570	0018-09-19	0.437	0.437	0.485	0.508	0.537	0.544
TIR1-3-0-SEV-R570	0018-11-19	0.315	0.315	0.39	0.44	0.49	0.502
TIR1-3-0-SEV-R570	0019-01-19	0.396	0.396	0.449	0.49	0.533	0.551
TIR1-3-0-SEV-R570	0019-02-19	0.438	0.438	0.492	0.511	0.558	0.572
TIR1-3-0-SEV-R570	0019-05-19	0.443	0.443	0.475	0.503	0.541	0.553
TIR1-3-0-SEV-R570	0019-06-19	0.417	0.417	0.462	0.492	0.529	0.539
TIR1-3-0-SEV-R570	0019-08-19	0.4	0.4	0.462	0.491	0.525	0.538
TIR1-3-0-SEV-R570	0019-10-19	0.422	0.422	0.475	0.505	0.543	0.557
TIR1-3-0-SEV-R570	0020-01-19	0.434	0.434	0.483	0.508	0.544	0.553
TIR1-3-0-SEV-R570	0020-04-19	0.411	0.411	0.461	0.489	0.528	0.537
TIR1-3-0-SEV-R570	0020-08-19	0.386	0.386	0.458	0.489	0.524	0.537
TIR1-3-0-SEV-R570	0020-11-19	0.353	0.353	0.382	0.434	0.483	0.494
TIR1-3-0-SEV-R570	0021-01-19	0.434	0.434	0.484	0.511	0.552	0.562
TIR1-3-0-SEV-R570	0021-04-19	0.41	0.41	0.461	0.489	0.529	0.538
TIR1-3-0-SEV-R570	0021-05-19	0.432	0.432	0.473	0.501	0.539	0.552
TIR1-3-0-SEV-R570	0021-07-19	0.384	0.384	0.448	0.485	0.523	0.535
TIR1-3-0-SEV-R570	0021-08-19	0.423	0.423	0.478	0.499	0.526	0.536
TIR1-3-0-SEV-R570	0021-09-19	0.404	0.404	0.466	0.499	0.535	0.547
TIR1-3-0-SEV-R570	0021-12-19	0.317	0.317	0.388	0.434	0.483	0.492
TIR1-3-0-SEV-R570	0022-01-19	0.418	0.418	0.471	0.502	0.545	0.56
TIR1-3-0-SEV-R570	0022-02-19	0.447	0.447	0.499	0.517	0.564	0.578
TIR1-3-0-SEV-R570	0022-04-19	0.426	0.426	0.458	0.488	0.527	0.536
TIR1-3-0-SEV-R570	0022-06-19	0.409	0.409	0.456	0.488	0.524	0.536
TIR1-3-0-SEV-R570	0022-07-19	0.379	0.379	0.444	0.483	0.522	0.535
TIR1-3-0-SEV-R570	0022-09-19	0.426	0.426	0.472	0.499	0.536	0.546
TIR1-3-0-SEV-R570	0023-04-19	0.417	0.417	0.462	0.489	0.529	0.536
TIR1-3-0-SEV-R570	0023-06-19	0.405	0.405	0.454	0.487	0.523	0.535
TIR1-3-0-SEV-R570	0023-09-19	0.429	0.429	0.48	0.501	0.534	0.546
TIR1-3-0-SEV-R570	0023-11-19	0.311	0.311	0.384	0.432	0.482	0.488
TIR1-3-0-SEV-R570	0024-04-19	0.416	0.416	0.46	0.488	0.528	0.536
TIR1-3-0-SEV-R570	0024-06-19	0.434	0.434	0.476	0.497	0.526	0.535
TIR1-3-0-SEV-R570	0024-08-19	0.378	0.378	0.453	0.49	0.524	0.537
TIR1-3-0-SEV-R570	0024-09-19	0.414	0.414	0.468	0.499	0.533	0.545
TIR1-3-0-SEV-R570	0024-10-19	0.358	0.358	0.425	0.485	0.53	0.544
TIR1-3-0-SEV-R570	0024-11-19	0.31	0.31	0.383	0.433	0.483	0.491
TIR1-3-0-SEV-R570	0025-01-19	0.44	0.44	0.487	0.514	0.557	0.566
TIR1-3-0-SEV-R570	0025-02-19	0.462	0.462	0.494	0.516	0.567	0.579
TIR1-3-0-SEV-R570	0025-05-19	0.418	0.418	0.466	0.494	0.531	0.545
TIR1-3-0-SEV-R570	0025-07-19	0.426	0.426	0.475	0.501	0.533	0.54
TIR1-3-0-SEV-R570	0025-08-19	0.411	0.411	0.47	0.491	0.524	0.535
TIR1-3-0-SEV-R570	0025-09-19	0.396	0.396	0.462	0.495	0.531	0.542
TIR1-3-0-SEV-R570	0025-11-19	0.369	0.369	0.385	0.434	0.483	0.491
TIR1-3-0-SEV-R570	0026-01-19	0.42	0.42	0.471	0.503	0.547	0.555
TIR1-3-0-SEV-R570	0026-02-19	0.444	0.444	0.484	0.515	0.565	0.581
TIR1-3-0-SEV-R570	0026-06-19	0.439	0.439	0.479	0.504	0.535	0.54
TIR1-3-0-SEV-R570	0026-08-19	0.398	0.398	0.459	0.49	0.524	0.535
TIR1-3-0-SEV-R570	0026-10-19	0.337	0.337	0.404	0.468	0.521	0.536
TIR1-3-0-SEV-R570	0026-11-19	0.351	0.351	0.385	0.434	0.484	0.492
TIR1-3-0-SEV-R570	0027-01-19	0.409	0.409	0.464	0.498	0.539	0.55
TIR1-3-0-SEV-R570	0027-04-19	0.437	0.437	0.48	0.506	0.552	0.556
TIR1-3-0-SEV-R570	0027-07-19	0.417	0.417	0.469	0.497	0.532	0.539
TIR1-3-0-SEV-R570	0027-08-19	0.382	0.382	0.455	0.491	0.526	0.536
TIR1-3-0-SEV-R570	0027-10-19	0.332	0.332	0.4	0.461	0.516	0.532
TIR1-3-0-SEV-R570	0027-11-19	0.333	0.333	0.386	0.436	0.484	0.494
TIR1-3-0-SEV-R570	0028-01-19	0.399	0.399	0.456	0.492	0.532	0.545
TIR1-3-0-SEV-R570	0028-04-19	0.438	0.438	0.481	0.506	0.551	0.556
TIR1-3-0-SEV-R570	0028-05-19	0.438	0.438	0.477	0.501	0.54	0.549
TIR1-3-0-SEV-R570	0028-07-19	0.417	0.417	0.472	0.5	0.539	0.554
TIR1-3-0-SEV-R570	0028-09-19	0.409	0.409	0.464	0.495	0.531	0.544
TIR1-3-0-SEV-R570	0028-10-19	0.33	0.33	0.399	0.456	0.514	0.53
TIR1-3-0-SEV-R570	0029-01-19	0.433	0.433	0.48	0.508	0.542	0.552
TIR1-3-0-SEV-R570	0029-04-19	0.432	0.432	0.475	0.501	0.545	0.553
TIR1-3-0-SEV-R570	0029-05-19	0.434	0.434	0.478	0.504	0.544	0.555
TIR1-3-0-SEV-R570	0029-06-19	0.42	0.42	0.465	0.494	0.53	0.54
TIR1-3-0-SEV-R570	0029-07-19	0.453	0.453	0.482	0.5	0.538	0.553
TIR1-3-0-SEV-R570	0029-09-19	0.389	0.389	0.454	0.492	0.528	0.541
TIR1-3-0-SEV-R570	0029-12-19	0.428	0.428	0.482	0.505	0.526	0.515
TIR1-3-0-SEV-R570	0030-06-19	0.415	0.415	0.463	0.492	0.528	0.536
TIR1-3-0-SEV-R570	0030-09-19	0.433	0.433	0.473	0.494	0.528	0.54
TIR1-3-0-SEV-R570	0031-07-19	0.442	0.442	0.487	0.511	0.553	0.559
TIR1-3-0-SEV-R570	0031-08-19	0.37	0.37	0.445	0.487	0.523	0.53
TIR1-3-0-SEV-R570	0031-10-19	0.433	0.433	0.439	0.46	0.515	0.531
TIR1-5-0-AAA-R570	0001-04-19	0.451	0.451	0.484	0.514	0.541	0.544
TIR1-5-0-AAA-R570	0001-06-19	0.474	0.474	0.497	0.525	0.553	0.555
TIR1-5-0-AAA-R570	0001-07-19	0.47	0.47	0.495	0.515	0.556	0.564
TIR1-5-0-AAA-R570	0001-08-19	0.459	0.459	0.486	0.511	0.554	0.565
TIR1-5-0-AAA-R570	0002-03-19	0.426	0.426	0.449	0.465	0.509	0.516
