rainfalldate	rainfall	wscode
05/10/2005	0	1031
06/10/2005	0	1031
07/10/2005	0	1031
08/10/2005	0	1031
09/10/2005	0	1031
10/10/2005	4.3	1031
11/10/2005	1.4	1031
12/10/2005	0.3	1031
13/10/2005	0	1031
14/10/2005	0	1031
15/10/2005	0	1031
16/10/2005	0	1031
17/10/2005	1.7	1031
18/10/2005	0	1031
19/10/2005	0	1031
20/10/2005	0.7	1031
21/10/2005	0	1031
22/10/2005	7.5	1031
23/10/2005	0	1031
24/10/2005	0	1031
25/10/2005	0	1031
26/10/2005	0	1031
27/10/2005	0	1031
28/10/2005	0	1031
29/10/2005	0	1031
30/10/2005	13.3	1031
31/10/2005	0.2	1031
01/11/2005	0	1031
02/11/2005	0	1031
03/11/2005	1.5	1031
04/11/2005	0	1031
05/11/2005	0	1031
06/11/2005	0	1031
07/11/2005	0	1031
08/11/2005	0	1031
09/11/2005	0	1031
10/11/2005	0	1031
11/11/2005	0	1031
12/11/2005	20.3	1031
13/11/2005	23.7	1031
14/11/2005	15	1031
15/11/2005	1.7	1031
16/11/2005	0	1031
17/11/2005	0	1031
18/11/2005	0	1031
19/11/2005	0	1031
20/11/2005	0	1031
21/11/2005	4	1031
22/11/2005	0	1031
23/11/2005	0	1031
24/11/2005	0	1031
25/11/2005	9.1	1031
26/11/2005	22.3	1031
27/11/2005	0	1031
28/11/2005	8.4	1031
29/11/2005	1.2	1031
30/11/2005	0	1031
01/12/2005	0	1031
02/12/2005	2.2	1031
03/12/2005	0	1031
04/12/2005	0	1031
05/12/2005	0	1031
06/12/2005	0	1031
07/12/2005	0	1031
08/12/2005	0	1031
09/12/2005	0	1031
10/12/2005	0	1031
11/12/2005	0	1031
12/12/2005	0	1031
13/12/2005	0	1031
14/12/2005	0	1031
15/12/2005	0.6	1031
16/12/2005	0	1031
17/12/2005	0	1031
18/12/2005	0	1031
19/12/2005	0	1031
20/12/2005	0	1031
21/12/2005	1.3	1031
22/12/2005	0.5	1031
23/12/2005	3.1	1031
24/12/2005	1.8	1031
25/12/2005	0.4	1031
26/12/2005	4.2	1031
27/12/2005	11.5	1031
28/12/2005	0	1031
29/12/2005	0	1031
30/12/2005	0	1031
31/12/2005	0	1031
01/01/2006	0.6	1031
