obsplantdate;obsplantlib;obsplantval;varcyclecode
07/03/2005;nblts;15.875;BCSU-0-0-PLU-R570
07/03/2005;nblvs;6.75;BCSU-0-0-PLU-R570
07/03/2005;nbtigv;6.786;BCSU-0-0-PLU-R570
07/03/2005;nbtv;6.786;BCSU-0-0-PLU-R570
11/04/2005;htvds;119.75;BCSU-0-0-PLU-R570
11/04/2005;nblts;20.25;BCSU-0-0-PLU-R570
11/04/2005;nblvs;7.875;BCSU-0-0-PLU-R570
11/04/2005;nbtv;6.667;BCSU-0-0-PLU-R570
31/05/2005;htvds;168.75;BCSU-0-0-PLU-R570
31/05/2005;lai;5.047;BCSU-0-0-PLU-R570
13/11/2008;mftu;41.12222;DSLM-0-0-AAA-R570
31/05/2005;mslv;5.24273;BCSU-0-0-PLU-R570
31/05/2005;mstu;23.76024;BCSU-0-0-PLU-R570
31/05/2005;nblts;23.625;BCSU-0-0-PLU-R570
31/05/2005;nblvs;4.25;BCSU-0-0-PLU-R570
31/05/2005;nbtigv;6.429;BCSU-0-0-PLU-R570
31/05/2005;nbtv;6.429;BCSU-0-0-PLU-R570
27/07/2005;htvds;196.125;BCSU-0-0-PLU-R570
20/01/2009;mftu;132.1;DSLM-0-0-AAA-R570
27/07/2005;mslv;6.00731;BCSU-0-0-PLU-R570
27/07/2005;mstu;28.4504;BCSU-0-0-PLU-R570
27/07/2005;nblts;26.875;BCSU-0-0-PLU-R570
27/07/2005;nblvs;5.625;BCSU-0-0-PLU-R570
27/07/2005;nbtigv;6.31;BCSU-0-0-PLU-R570
27/07/2005;nbtv;6.31;BCSU-0-0-PLU-R570
27/09/2005;htvds;208.5;BCSU-0-0-PLU-R570
27/09/2005;lai;4.214;BCSU-0-0-PLU-R570
27/09/2005;mftu;111.389;BCSU-0-0-PLU-R570
24/03/2009;mftu;187.32222;DSLM-0-0-AAA-R570
27/09/2005;mslv;6.11352;BCSU-0-0-PLU-R570
27/09/2005;mstu;32.42569;BCSU-0-0-PLU-R570
27/09/2005;nblts;33.62;BCSU-0-0-PLU-R570
27/09/2005;nblvs;8.75;BCSU-0-0-PLU-R570
27/09/2005;nbtigv;6.548;BCSU-0-0-PLU-R570
27/09/2005;nbtv;6.548;BCSU-0-0-PLU-R570
10/12/2004;htvds;7.563;BCSU-0-0-PLU-RB72454
10/12/2004;lai;0.029;BCSU-0-0-PLU-RB72454
10/12/2004;mftu;0;BCSU-0-0-PLU-RB72454
27/05/2009;mftu;152.44444;DSLM-0-0-AAA-R570
10/12/2004;mslv;0.04417;BCSU-0-0-PLU-RB72454
10/12/2004;mstu;0;BCSU-0-0-PLU-RB72454
10/12/2004;nbtigv;3.036;BCSU-0-0-PLU-RB72454
10/12/2004;nbtv;3.036;BCSU-0-0-PLU-RB72454
05/01/2005;htvds;24.688;BCSU-0-0-PLU-RB72454
05/01/2005;nblts;7.313;BCSU-0-0-PLU-RB72454
05/01/2005;nblvs;6.313;BCSU-0-0-PLU-RB72454
05/01/2005;nbtv;5.595;BCSU-0-0-PLU-RB72454
24/01/2005;htvds;47.438;BCSU-0-0-PLU-RB72454
24/01/2005;nblts;10.75;BCSU-0-0-PLU-RB72454
24/01/2005;nblvs;7.375;BCSU-0-0-PLU-RB72454
24/01/2005;nbtv;7.143;BCSU-0-0-PLU-RB72454
15/02/2005;htvds;77.625;BCSU-0-0-PLU-RB72454
27/07/2009;mftu;215.69333;DSLM-0-0-AAA-R570
15/02/2005;mslv;2.02552;BCSU-0-0-PLU-RB72454
15/02/2005;mstu;7.00778;BCSU-0-0-PLU-RB72454
15/02/2005;nblts;12.875;BCSU-0-0-PLU-RB72454
15/02/2005;nblvs;5.875;BCSU-0-0-PLU-RB72454
15/02/2005;nbtigv;7.143;BCSU-0-0-PLU-RB72454
15/02/2005;nbtv;7.143;BCSU-0-0-PLU-RB72454
07/03/2005;htvds;109.438;BCSU-0-0-PLU-RB72454
07/03/2005;lai;2.366;BCSU-0-0-PLU-RB72454
07/03/2005;mftu;35.12;BCSU-0-0-PLU-RB72454
13/11/2008;mftu;60.14444;DSLM-0-0-AAA-R579
07/03/2005;mslv;2.51578;BCSU-0-0-PLU-RB72454
07/03/2005;mstu;9.66139;BCSU-0-0-PLU-RB72454
07/03/2005;nblts;16.313;BCSU-0-0-PLU-RB72454
07/03/2005;nblvs;7.625;BCSU-0-0-PLU-RB72454
07/03/2005;nbtigv;7.262;BCSU-0-0-PLU-RB72454
07/03/2005;nbtv;7.262;BCSU-0-0-PLU-RB72454
