treatcode	obsdate	calage	stagnb	stadnb	stafnb	stahtvd	blatnb	blagnb	blastvd	glai	ei	stamsu	stamfm	stamdm	stamwc	stamsuc	stamfbc	stambjc	stampur	blagdm	bladm	agrfm	agrdm	agrwc	sendm
CP02-1-0-AAA-R570	05-04-1995	1	-999	-999	-999	-999	26.11111	13.66667	-999	-999	0.93	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-1-0-AAA-R570	05-09-1995	1	7.88	15.81	-999	-999	23.7037	7.888889	-999	6.22	-999	10.906434	76.8642	21.1684	72.469	17.82	10.74	17.82	17.82	6.847841	10.50488	-999	38.5716	-999	6.17
CP02-1-0-AAA-R570	07-10-1994	1	5.07	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-1-0-AAA-R570	08-06-1995	1	10.33	15.11	-999	-999	25.44444	10.33333	-999	6.15	-999	3.663618	45.9185	9.9689	78.305	12.4	10.44	12.4	12.4	6.455264	9.168956	-999	25.3919	-999	4.59
CP02-1-0-AAA-R570	11-05-1995	1	10.33	15.11	-999	-999	25.44444	10.33333	-999	5.3	0.92	1.882826	37.2102	7.5574	79.71	9.92	11.23	9.92	9.92	5.44928	7.51348	-999	20.8183	-999	3.56
CP02-1-0-AAA-R570	12-10-1995	1	7.88	15.81	-999	-999	23.7037	7.888889	-999	7.81	-999	10.272	80.0073	22.8981	71.388	16.69	12.34	16.69	16.69	8.642362	12.51654	-999	42.7244	-999	6.51
CP02-1-0-AAA-R570	14-09-1994	1	2.18	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-1-0-AAA-R570	17-07-1995	1	8.44	15.25	-999	-999	23.7037	8.444445	-999	6.07	-999	7.131327	61.5308	16.1949	73.688	15.68	11.41	15.68	15.68	6.623636	9.810623	-999	32.1945	-999	5.34
CP02-1-0-AAA-R570	18-04-1995	1	13.66	12.44	-999	-999	-999	-999	-999	5.7	-999	1.18456	34.8448	6.0839	82.549	8.59	10.14	8.59	8.59	5.769889	7.328635	-999	19.0592	-999	2.69
CP02-1-0-AAA-R570	23-03-1995	1	-999	-999	-999	-999	-999	-999	-999	4.89	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-1-0-AAA-R570	24-08-1994	1	0.23	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-1-0-AAA-R570	24-10-1994	1	5.86	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-1-0-AAA-R570	28-10-1994	1	-999	-999	-999	-999	-999	-999	-999	0.24	0.09	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	02-07-1994	1	-999	-999	-999	-999	-999	-999	-999	-999	0.4246535	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	03-03-1995	1	10	9.33	-999	-999	-999	-999	-999	6.47	-999	-999	110.4681	17.6749	84.003	-999	-999	-999	-999	8.4128	-999	-999	38.4799	-999	-999
CP04-0-0-AAA-R570	03-05-1995	1	-999	-999	-999	-999	-999	-999	-999	-999	0.9647032	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	04-12-1994	1	-999	-999	-999	-999	-999	-999	-999	-999	0.8803531	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	05-02-1995	1	-999	-999	-999	-999	-999	-999	-999	-999	0.9740875	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	05-09-1994	1	22.67	0.5	-999	-999	-999	-999	-999	2.72	-999	0	0	0	-999	-999	-999	-999	-999	2.3634	-999	-999	5.6984	-999	-999
CP04-0-0-AAA-R570	05-12-1994	1	18.56	1.11	-999	-999	-999	-999	-999	4.74	-999	-999	4.1254	0.6683	83.981	-999	-999	-999	-999	4.6245	-999	-999	12.6317	-999	-999
CP04-0-0-AAA-R570	07-10-1994	1	-999	-999	-999	-999	14.89655	6.62069	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
